Episodes,Emition_Date,Users,Rank,Title,Score
TV (12 eps),Jul 2014 - Sep 2014,"179,491",1830,Rokujouma no Shinryakusha!?,7.12
TV (11 eps),Apr 2014 - Jun 2014,"237,281",1831,Ryuugajou Nanana no Maizoukin,7.12
TV (12 eps),Oct 2021 - Dec 2021,"29,228",1832,Kaginado,7.11
TV (24 eps),Nov 2005 - May 2006,"177,631",1833,Karin,7.11
TV (12 eps),Jan 2019 - Mar 2019,"31,192",1834,Kemurikusa (TV),7.11
TV (13 eps),Jul 2007 - Sep 2007,"39,102",1835,Kenkou Zenrakei Suiei-bu Umishou,7.11
TV (13 eps),Jan 2008 - Mar 2008,"118,284",1836,Kimi ga Aruji de Shitsuji ga Ore de,7.11
TV (52 eps),Apr 2005 - Mar 2006,"3,918",1837,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,7.11
TV (13 eps),Oct 2014 - Dec 2014,"354,275",1838,Madan no Ou to Vanadis,7.11
TV (50 eps),Apr 2021 - Mar 2022,"2,110",1839,Mewkledreamy Mix!,7.11
TV (24 eps),Oct 2023 -,"50,483",1840,Nanatsu no Taizai: Mokushiroku no Yonkishi,7.12
TV (12 eps),Jan 2020 - Jun 2020,"34,797",1841,A3! Season Spring & Summer,7.11
TV (12 eps),Oct 2003 - Dec 2003,"59,046",1842,Ai Yori Aoshi: Enishi,7.11
TV (12 eps),Apr 2018 - Jun 2018,"32,020",1843,Amanchu! Advance,7.11
TV (52 eps),Oct 1987 - Feb 1989,"5,234",1844,Anime Sanjuushi,7.11
TV (38 eps),Apr 2000 - Dec 2000,"4,182",1845,Dokidoki♡Densetsu: Mahoujin Guruguru,7.11
TV (12 eps),Jan 2015 - Mar 2015,"153,020",1846,Junketsu no Maria,7.11
TV (48 eps),Feb 1991 - Feb 1992,"3,868",1847,Taiyou no Yuusha Fighbird,7.11
TV (13 eps),Jul 2003 - Sep 2003,"7,514",1848,Takahashi Rumiko Gekijou,7.11
TV (193 eps),Jan 1963 - Dec 1966,"12,647",1849,Tetsuwan Atom,7.10
